Output Freq,Input Freq,Offset,Uplink Tone,Downlink Tone,"Location",County,Lat,Long,Call,Use,Op Status,Mode,Digital Access,EchoLink,IRLP,AllStar,Coverage,Status,Last Update
146.88000,146.28000,-,100.0,,"Aztec - Tank Mtn",San Juan,36.82220078,-107.99299622,KB5ITS,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-03-05
146.90000,146.30000,-,67.0,,"Albuquerque - Op Ctr",Bernalillo,35.05780029,-106.58699799,K5FIQ,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2022-12-23
146.92000,146.32000,-,100.0,,"Ruidoso - Alto Crest",Lincoln,33.38639832,-105.67099762,KR5NM,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2022-12-15
146.92000,146.32000,-,100.0,,"Bloomfield",San Juan,36.71110153,-107.98400116,K5WXI,OPEN,On-Air,Analog/analog,,,,,,On-Air,2017-08-25
146.94000,146.34000,-,,,"Roswell",Chaves,33.39419937,-104.52200317,KJ5UFO,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-12-02
146.94000,146.34000,-,100.0,,"Grants - Mt Taylor",Cibola,35.23860168,-107.60800171,K5URR,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2022-12-17
146.96000,146.36000,-,100.0,88.5,"Belen - Capilla Peak",Torrance,34.70140076,-106.40100098,K5URR,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2023-02-25
146.98000,146.38000,-,141.3,141.3,"Grants - Mt Taylor",Cibola,35.25249863,-107.59700012,NM5EM,OPEN,On-Air,Analog/analog,,,,,,On-Air,2024-02-24
146.98000,146.38000,-,103.5,,"Silver City - Black Peak",Grant,32.90947800,-108.16219100,K5GAR,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2022-12-18
146.98000,146.38000,-,100.0,100.0,"Ruidoso - Buck Mtn",Lincoln,33.33169937,-105.67299652,K5RIC,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2022-08-02
147.00000,147.60000,+,100.0,100.0,"High Rolls",Otero,32.93989944,-105.84200287,KF5MQH,OPEN,On-Air,YSF/analog,,,,,,On-Air,2022-12-02
147.00000,147.60000,+,67.0,,"Portales - ENMU",Roosevelt,34.18069839,-103.35199738,W5OMU,OPEN,On-Air,Analog/analog,,,,,,On-Air,2017-01-15
147.00000,147.60000,+,67.0,,"Midway (Portales)",Roosevelt,34.25000000,-103.23000336,KE5RUE,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-02-12
147.00000,147.60000,+,100.0,,"Farmington - College Hill",San Juan,36.76200000,-108.18200000,KB5ITS,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-03-05
147.02000,147.62000,+,100.0,,"Deming - Little Florida Mtn",Luna,32.26860046,-107.75800323,NM5ML,OPEN,On-Air,Analog/analog,,,,,,On-Air,2021-07-22
147.02000,147.62000,+,141.3,,"Santa Fe - Tesuque Peak",Santa Fe,35.78530121,-105.78199768,NM5EM,OPEN,On-Air,Analog/analog,,,,,,On-Air,2021-06-01
147.04000,147.64000,+,100.0,,"Datil - Davenport Lookout",Catron,34.28359985,-107.91300201,NM5ML,OPEN,Unknown,Analog/analog,,,,,,Unknown,2021-07-22
147.04000,147.64000,+,141.3,,"Eagle Nest - Touch Me Not",Colfax,36.57799911,-105.19799805,NM5EM,OPEN,Unknown,Analog/analog,,,,,,Unknown,2021-06-04
147.04000,147.64000,+,141.3,141.3,"Santa Rosa - Moon Ranch",Guadalupe,34.93870163,-104.68199921,NM5EM,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-12-17
147.04000,147.64000,+,151.4,,"Deming - Little Florida Mtn",Luna,32.19400000,-107.60800000,K5ELP,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2023-01-03
147.06000,147.66000,+,141.3,,"Deming - Little Florida Mtn",Luna,32.19279861,-107.60500336,K7EAR,OPEN,On-Air,Analog/analog,,,,,,On-Air,2023-02-11
147.06000,147.66000,+,67.0,,"Clines Corners - Tapia Mesa",San Miguel,35.04779816,-105.62999725,K5FIQ,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-12-23
147.08000,147.68000,+,,,"Deming",Luna,32.26869965,-107.75900269,W5JX,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-12-15
147.08000,147.68000,+,162.2,,"Chama - Overlook Mtn",Rio Arriba,36.90999985,-106.58000183,W5SF,OPEN,On-Air,Analog/analog,,,,,,On-Air,2021-06-04
147.08000,147.68000,+,100.0,,"Placitas - La Madera",Sandoval,35.30749893,-106.45700073,NM5SC,OPEN,On-Air,Analog/analog,,,,28176,Wide area,On-Air,2023-02-05
147.10000,147.70000,+,103.5,,"Reserve - Eagle Peak",Catron,33.67673000,-108.57694000,K5LME,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-06-25
147.10000,147.70000,+,,,"Jal",Lea,32.11309814,-103.19300079,N5SVI,OPEN,Unknown,Analog/analog,,,,,,Unknown,0000-00-00
147.10000,147.70000,+,100.0,,"Bloomfield - Harris Mesa",San Juan,36.61000061,-107.80999756,KB5ITS,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-02-12
147.10000,147.70000,+,100.0,100.0,"Rio Rancho - Rainbow",Sandoval,35.27439880,-106.73699951,NM5RR,OPEN,On-Air,Analog/analog,,,,27749,,On-Air,2023-02-05
147.12000,147.72000,+,88.5,,"Carlsbad - Dark Canyon",Eddy,32.27550125,-104.45300293,N5SOR,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-06-25
147.12000,147.72000,+,67.0,,"Taos - Picuris Peak",Taos,36.24689865,-105.65399933,W5TYL,OPEN,On-Air,Analog/analog,,891030,,,Wide area,On-Air,2022-08-02
147.12000,147.72000,+,100.0,,"Bosque Farms",Valencia,34.85300000,-106.69800000,KC5OUR,OPEN,On-Air,YSF/analog,,,,,,On-Air,2023-07-20
147.14000,147.74000,+,100.0,,"Datil - Luera Peak",Catron,33.82640076,-107.87699890,NM5ML,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2021-07-22
147.14000,147.74000,+,100.0,,"Fort Sumner",Debaca,34.47169876,-104.24500275,KB5ZFA,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2021-07-22
147.14000,147.74000,+,67.0,,"Maljamar",Lea,32.85609818,-103.76200104,,OPEN,On-Air,DStar/analog,,,,,Wide area,On-Air,2025-08-14
147.14000,147.74000,+,67.0,,"Taos - Ski Valley",Taos,36.59780121,-105.44499969,NM5ML,OPEN,On-Air,Analog/analog,,,,,,On-Air,2021-07-22
147.15000,147.75000,+,100.0,,"Arboles - Spring Creek",San Juan,37.11000000,-107.63000000,KB5ITS,OPEN,On-Air,Analog/analog,,,,,,On-Air,2025-08-22
147.17500,147.77500,+,141.3,,"Des Moines - Sierra Grande",Union,36.76110077,-103.83399963,NM5EM,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-06-04
147.18000,147.78000,+,146.2,,"Roswell",Chaves,33.39426550,-104.52302420,W5JXT,OPEN,On-Air,DMR/analog,1,,,,,On-Air,2023-01-30
147.18000,147.78000,+,100.0,CSQ,"Grants - I-40 Exit 81",Cibola,35.13273500,-107.88849000,KE5FYL,OPEN,On-Air,Analog/analog,,,,,,On-Air,2024-05-04
147.18000,147.78000,+,100.0,100.0,"Dixon - Cerro Abajo",Rio Arriba,36.20809700,-105.90045000,KD5PX,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-02-19
147.20000,147.80000,+,67.0,,"Wagon Mound - Turkey Mtn",Mora,35.98429871,-104.90100098,NM5ML,OPEN,On-Air,Analog/analog,,,,,,On-Air,2023-04-20
147.20000,147.80000,+,162.2,,"Santa Fe - St Vincent Hospital",Santa Fe,35.65930176,-105.94499969,W5SF,OPEN,On-Air,Analog/analog,,,,,,On-Air,2023-02-05
147.20000,146.60000,-,103.5,,"Magdalena - Gray Hill",Socorro,34.03800000,-107.44600000,K5LME,OPEN,On-Air,Analog/analog,,,,,,On-Air,2023-01-03
147.22000,147.82000,+,127.3,127.3,"Hobbs",Lea,32.78530121,-103.11799622,K5INW,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-12-22
147.22000,147.82000,+,67.0,,"Gallup - Deza Bluffs",McKinley,35.90309906,-108.77200317,NM5ML,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2022-12-17
147.22000,147.82000,+,151.4,151.4,"Alamogordo - Alamo Peak",Otero,32.87250137,-105.81199646,KE5MIQ,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-08-06
147.22000,147.82000,+,100.0,,"Tucumcari - Tucumcari Mtn",Quay,35.13420105,-103.69899750,NM5ML,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2022-12-17
147.22000,147.82000,+,100.0,,"Tres Piedras - San Antonio Mtn",Rio Arriba,36.85969925,-106.01799774,NM5ML,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2021-06-04
147.24000,147.84000,+,67.0,,"Clovis",Curry,34.40470123,-103.20500183,KA5B,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-03-05
147.24000,147.84000,+,67.0,,"Cuba - Eureka Mesa",Sandoval,36.01359940,-106.84400177,NM5ML,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2021-09-19
147.24000,147.84000,+,100.0,88.5,"Socorro - Socorro Peak",Socorro,34.07139969,-106.96199799,NM5ML,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2021-07-22
147.26000,147.86000,+,100.0,,"Roswell",Chaves,33.39419937,-104.52200317,NM5ML,OPEN,On-Air,Analog/analog,,,,,,On-Air,2021-07-22
147.26000,147.86000,+,100.0,,"Gallup - Gibson Peak",McKinley,35.60509872,-108.68499756,KC5WDV,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-12-17
147.26000,147.86000,+,67.0,,"Pecos - Elk Mtn",San Miguel,35.76720047,-105.55400085,NM5ML,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2022-05-20
147.26000,147.86000,+,100.0,,"Caballo - Caballo Peak",Sierra,32.96950150,-107.22499847,NM5ML,OPEN,On-Air,Analog/analog,,,,,,On-Air,2021-07-22
147.28000,147.88000,+,100.0,,"Raton - Sierra Grande",Colfax,36.90330124,-104.43900299,,OPEN,On-Air,DStar/analog,,,,,Wide area,On-Air,2025-08-14
147.28000,147.88000,+,67.0,,"Melrose",Curry,34.43030167,-103.63200378,NM5ML,OPEN,Unknown,Analog/analog,,,,,Wide area,Unknown,2021-07-22
147.28000,147.88000,+,123.0,123.0,"Carlsbad",Eddy,32.42070007,-104.22899628,K5CNM,OPEN,On-Air,Analog/analog,,,,,,On-Air,2021-07-29
147.28000,147.88000,+,100.0,,"Corona - Gallinas Peak",Lincoln,34.24440002,-105.79100037,NM5ML,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2022-12-03
147.28000,147.88000,+,67.0,,"Bloomfield - Harris Mesa",San Juan,36.60670090,-107.80500031,NM5ML,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2021-07-22
147.30000,147.90000,+,103.5,,"Reserve - Frisco Divide",Catron,33.75967000,-108.88599000,K5LME,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-06-25
147.30000,147.90000,+,123.0,,"Queen - Fire Station",Eddy,32.19079971,-104.74600220,K5CNM,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-12-15
147.30000,147.90000,+,162.2,162.2,"Las Vegas - Elk Mtn",San Miguel,35.76670074,-105.55300140,W5SF,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2022-05-20
147.32000,147.92000,+,100.0,,"Albuquerque",Bernalillo,35.13059998,-106.49800110,K5LXP,OPEN,On-Air,Analog/analog,,,,,,On-Air,2025-05-02
147.32000,147.92000,+,146.2,146.2,"Roswell - Comanche Hill",Chaves,33.40168000,-104.37994300,W5ZU,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-12-15
147.32000,147.92000,+,71.9,71.9,"Clovis",Curry,34.40480042,-103.20500183,WS5D,OPEN,On-Air,Analog/analog,,,,28177,,On-Air,2022-12-16
147.34000,147.94000,+,67.0,,"Tijeras - Cedro Peak",Bernalillo,35.05310059,-106.35099792,NM5ML,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2022-12-23
147.34000,147.94000,+,100.0,,"Angel Fire - Agua Fria Peak",Colfax,36.36000061,-105.20999908,N5LEM,OPEN,Unknown,Analog/analog,,,,,Wide area,Unknown,2025-03-16
147.36000,147.96000,+,100.0,,"Albuquerque",Bernalillo,35.10919952,-106.49700165,KB5XE,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-12-15
147.36000,147.96000,+,67.0,,"Reserve - Frisco Divide",Catron,33.75780106,-108.88500214,,OPEN,On-Air,DStar/analog,,,,,,On-Air,2025-08-14
147.36000,147.96000,+,100.0,,"Navajo Dam - Navajo Lake",San Juan,36.79999924,-107.62000275,KB5ITS,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-02-12
147.36000,147.96000,+,100.0,,"Conchas Dam - Mesa Rica",San Miguel,35.23279953,-104.22299957,NM5ML,OPEN,On-Air,Analog/analog,,,,,Wide area,On-Air,2022-12-17
147.38000,147.98000,+,162.2,,"Albuquerque",Bernalillo,35.21656600,-106.45203300,K5GAS,OPEN,On-Air,Analog/analog,,,,,,On-Air,2024-04-11
147.38000,147.98000,+,123.0,123.0,"Hope",Eddy,32.81039810,-104.73300171,K5CNM,OPEN,On-Air,Analog/analog,,,,,,On-Air,2021-07-29
147.39000,147.99000,+,88.5,,"Kenton",Union,36.90100098,-103.00299835,WB5NJU,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-06-04
147.46500,147.46500,x,88.5,,"Albuquerque",Bernalillo,35.09460068,-106.55100250,W5MHG,OPEN,On-Air,Analog/analog,,465010,,28239,,On-Air,2017-07-21
147.52000,147.52000,x,,,"Grants - Rogers Rock",Cibola,35.14726000,-107.85144660,KE5FYL,OPEN,On-Air,Analog/analog,,,,,,On-Air,2025-01-13
147.57000,147.57000,x,,,"Albuquerque - Sandia Crest",Bernalillo,35.14230140,-106.64472230,KI6EAY,CLOSED,On-Air,Analog/analog,,326854,,427273,Wide area,On-Air,2025-01-20
223.82000,222.22000,-,,,"Albuquerque",Bernalillo,34.80609894,-106.53500366,KA5BIW,OPEN,On-Air,Analog/analog,,,,,,On-Air,2022-12-15
223.90000,222.30000,-,,,"Albuquerque",Bernalillo,35.16299820,-106.70999908,KB5UGU,OPEN,On-Air,Analog/analog,,87120,,,,On-Air,2022-08-09
